|positive|,|RT @TimesNow: PM Modi &amp; German Chancellor Angela Merkel inaugurate India pavilion @hannover_messe #MakeInIndia #ModiInGermany|
|positive|,|RT @brakoo: #SupariJournalists covering #ModiInGermany and #MakeInIndia. http://t.co/S24uvnpYgj|
|positive|,|RT @makeinindia: .@hannover_messe - the world's leading industrial fair kicks off with a spectacular ceremony featuring #MakeInIndia! http|
|positive|,|RT @makeinindia: Exclusive preview of the #MakeInIndia pavilion @hannover_messe about to be inaugurated by @PMOIndia! #HM15 http://t.co/3xP|
|positive|,|RT @makeinindia: .@hannover_messe - the world's leading industrial fair kicks off with a spectacular ceremony featuring #MakeInIndia! http:|
|positive|,|RT @makeinindia: Don't miss all the exciting developments on Day 1 @hannover_messe - the world's leading industrial fair #MakeInIndia http:…|
|positive|,|Out of 800 companies participating in #HannoverMesse|
|positive|,|RT @makeinindia: Invest in the 3rd largest #biotech destination in the Asia-Pacific region! Come|
|positive|,|RT @makeinindia: India: the largest provider of generic medicines in the world. #pharmaceuticals #MakeInIndia @hannover_messe #HM15 http://…|
|positive|,|RT @makeinindia: Don't miss all the exciting developments on Day 1 @hannover_messe - the world's leading industrial fair #MakeInIndia http:…|
|positive|,|RT @EconomicTimes: In Pics: #MakeInIndia at .@hannover_messe: How the lion is roaring on the streets of #Germany http://t.co/xwUU8tYMUk htt…|
|positive|,|RT @makeinindia: Exclusive preview of the #MakeInIndia pavilion @hannover_messe about to be inaugurated by @PMOIndia! #HM15 http://t.co/3xP…|
|positive|,|RT @makeinindia: Missed all the excitement @hannover_messe opening last night? Watch it here http://t.co/BA5lgb6R2b #MakeInIndia #HM15 http…|
|positive|,|RT @yessprasad: Any comments? This is what we created in 6 months of day and night #hardwork #MakeInIndia #digital #SpecialOpsTheGame http:…|
|neutral|,|RT @brakoo: #SupariJournalists covering #ModiInGermany and #MakeInIndia. http://t.co/S24uvnpYgj|
|positive|,|RT @makeinindia: Chancellor Merkel enjoying some masala tea &amp; khakra prepared by Indian chefs at the #MakeInIndia pavilion at #HM15! http:/…|
|neutral|,|RT @dreamthatworks: #SupariJournalists won't show such pics of @narendramodi ... &amp; we know why... Jallianwala Bagh @KiranKS #MakeInIndia ht…|
|positive|,|RT @makeinindia: .@hannover_messe - the world's leading industrial fair kicks off with a spectacular ceremony featuring #MakeInIndia! http:…|
|positive|,|RT @makeinindia: Exclusive preview of the #MakeInIndia pavilion @hannover_messe about to be inaugurated by @PMOIndia! #HM15 http://t.co/3xP…|
|positive|,|RT @makeinindia: Defence innovation = Civil application. The maritime display at #MakeInIndia pavilion @hannover_messe. #HM15 http://t.co/B…|
|positive|,|RT @nikhilking: Want to see the true potential of game development in India? #MakeInIndia @GameEon #SpecialOpsTheGame #Entrepreneur https:/…|
|positive|,|RT @makeinindia: Exclusive preview of the #MakeInIndia pavilion @hannover_messe about to be inaugurated by @PMOIndia! #HM15 http://t.co/3xP…|
