|positive|,|RT @makeinindia: Speeches over. Time for a cup of tea. @PMOIndia @nsitharaman @amitabhk87 with Chancellor Merkel at #HM15 #MakeInIndia httpâ€_|
|positive|,|#Lama #Tours launches Express #Visa service via #franchise in #india  =&gt;http://t.co/wkoDr0XKVu #MakeInIndia #Mumbai http://t.co/hciWIQOuqJ|
|neutral|,|"RT @MahikaInfra: ""Don't underestimate the Power of Social Media""  &amp; #RealJournalism 4 #Makeinindia #ValmikiFamilies @sardanarohit :) http:/â€_"|
|negative|,|RT @AgAiNsT_CoMuNaL: Best Example of #MakeInIndia : Purchase fighter jet from abroad &amp; make money in India is known as #MakeInIndia.|
|neutral|,|RT @SirZaidHamid: Instead of buying weapons from France|
|positive|,|RT @makeinindia: Don't miss all the exciting developments on Day 1 @hannover_messe - the world's leading industrial fair #MakeInIndia http:â€_|
|positive|,|RT @SwadesiyaIndia: â€˜Make in Indiaâ€™ gets a boost from IITians #makeinindia http://t.co/lINOlm1gfW|
|positive|,|RT @SwadesiyaIndia: â€˜Make in Indiaâ€™ just got real for Indian Entertainment Content! #madeinindia #makeinindia http://t.co/Qir9V8fc4t|
|positive|,|#Airbus agrees to support PM #NarendraModiâ€™s #MakeinIndiaâ€™ initiative. #ModiInFrance http://t.co/CVhljMGAzJ|
|positive|,|RT @SwadesiyaIndia: Textile park workshop to give a push to â€˜Make in Indiaâ€™ #makeinindia http://t.co/zqQMs2Q7a0|
|positive|,|RT @makeinindia: Don't miss all the exciting developments on Day 1 @hannover_messe - the world's leading industrial fair #MakeInIndia http:â€_|
|positive|,|RT @SwadesiyaIndia: Hello World!  #MadeInINDIA #MakeInINDIA http://t.co/gM3VOrKWEG http://t.co/fmoyHkxm3P|
|positive|,|Indian Lion roaring in Germany #MakeInIndia: https://t.co/CEuh1ntYin via @YouTube@narendramodi @aajtak@anjanaomkashyap  @ANI_news @BDUTT|
|neutral|,|RT @brakoo: #SupariJournalists covering #ModiInGermany and #MakeInIndia. http://t.co/S24uvnpYgj|
|neutral|,|RT @brakoo: #SupariJournalists covering #ModiInGermany and #MakeInIndia. http://t.co/S24uvnpYgj|
|neutral|,|RT @brakoo: #SupariJournalists covering #ModiInGermany and #MakeInIndia. http://t.co/S24uvnpYgj|
|positive|,|RT @FollowNaMonews: #Airbus agrees to support PM #NarendraModiâ€™s #MakeinIndiaâ€™ initiative. #ModiInFrance http://t.co/CVhljMGAzJ|
|neutral|,|RT @brakoo: #SupariJournalists covering #ModiInGermany and #MakeInIndia. http://t.co/S24uvnpYgj|
|positive|,|The #MakeInIndia Lion at the India Pavilion at the @hannover_messe|
|negative|,|RT @awanishr: Whats the point of developement drama|
|negative|,|PM Modiji promotes #MakeInIndia but wears imported stuffs. Looks like LV or Gucci... http://t.co/HVV6VLKu04|
